Array/Hashing,,,,,,Status,Count
9,,,,,,Complete,0
Status,Problem,Difficulty,Video Solution,Code,,Remaining,150
Incomplete,Contains Duplicate,Easy,,,,Revisit,0
Incomplete,Valid Anagram,Easy,🎥 Video,PythonJava,,,
Incomplete,Two Sum,Easy,🎥 Video,PythonJava,,,
Incomplete,Group Anagrams,Medium,🎥 Video,PythonJava,,,
Incomplete,Top K Frequent Elements,Medium,🎥 Video,PythonJava,,,
Incomplete,Product of Array Except Self,Medium,🎥 Video,PythonJava,,,
Incomplete,Valid Sudoku,Medium,🎥 Video,PythonJava,,,
Incomplete,Encode and Decode Strings,Medium,🎥 Video,PythonJava,,,
Incomplete,Longest Consecutive Sequence,Medium,🎥 Video,PythonJava,,,

Two Pointers,,,,,,,
5,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Valid Palindrome,Easy,🎥 Video,PythonJava,,,
Incomplete,Two Sum II,Medium,🎥 Video,PythonJava,,,
Incomplete,3Sum,Medium,🎥 Video,PythonJava,,,
Incomplete,Container with Most Water,Medium,🎥 Video,PythonJava,,,
Incomplete,Trapping Rain Water,Hard,🎥 Video,PythonJava,,,

Sliding Window,,,,,,,
6,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Best Time to Buy & Sell Stock,Easy,🎥 Video,PythonJava,,,
Incomplete,Longest Substring Without Repeating Characters,Medium,🎥 Video,PythonJava,,,
Incomplete,Longest Repeating Character Replacement,Medium,🎥 Video,PythonJava,,,
Incomplete,Permutation in String,Medium,🎥 Video,PythonJava,,,
Incomplete,Minimum Window Substring,Hard,🎥 Video,PythonJava,,,
Incomplete,Sliding Window Maximum,Hard,🎥 Video,PythonJava,,,

Stack,,,,,,,
7,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Valid Parentheses,Easy,🎥 Video,PythonJava,,,
Incomplete,Min Stack,Easy,🎥 Video,PythonJava,,,
Incomplete,Evaluate Reverse Polish Notation,Medium,🎥 Video,PythonJava,,,
Incomplete,Generate Parentheses,Medium,🎥 Video,Python,,,
Incomplete,Daily Temperatures,Medium,🎥 Video,PythonJava,,,
Incomplete,Car Fleet,Medium,🎥 Video,Python,,,
Incomplete,Largest Rectangle in Histogram,Hard,🎥 Video,PythonJava,,,

Binary Search,,,,,,,
7,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Binary Search,Easy,🎥 Video,PythonJava,,,
Incomplete,Search a 2D Matrix,Medium,🎥 Video,PythonJava,,,
Incomplete,Koko Eating Bananas,Medium,🎥 Video,PythonJava,,,
Incomplete,Search Rotated Sorted Array,Medium,🎥 Video,PythonJava,,,
Incomplete,Find Minimum in Rotated Sorted Array,Medium,🎥 Video,Python,,,
Incomplete,Time Based Key-Value Store,Medium,🎥 Video,PythonJava,,,
Incomplete,Find Median of Two Sorted Arrays,Hard,🎥 Video,Python,,,

Linked List,,,,,,,
11,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Reverse Linked List,Easy,🎥 Video,PythonJava,,,
Incomplete,Merge Two Linked Lists,Easy,🎥 Video,PythonJava,,,
Incomplete,Reorder List,Medium,🎥 Video,Python,,,
Incomplete,Remove Nth Node from End of List,Medium,🎥 Video,Python,,,
Incomplete,Copy List with Random Pointer,Medium,🎥 Video,Python,,,
Incomplete,Add Two Numbers,Medium,🎥 Video,Python,,,
Incomplete,Linked List Cycle,Easy,🎥 Video,PythonJava,,,
Incomplete,Find the Duplicate Number,Medium,🎥 Video,Python,,,
Incomplete,LRU Cache,Medium,🎥 Video,Python,,,
Incomplete,Merge K Sorted Lists,Hard,🎥 Video,PythonJava,,,
Incomplete,Reverse Nodes in K-Group,Hard,🎥 Video,PythonJava,,,

Trees,,,,,,,
15,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Invert Binary Tree,Easy,🎥 Video,PythonJava,,,
Incomplete,Maximum Depth of Binary Tree,Easy,🎥 Video,PythonJava,,,
Incomplete,Diameter of a Binary Tree,Easy,🎥 Video,PythonJava,,,
Incomplete,Balanced Binary Tree,Easy,🎥 Video,PythonJava,,,
Incomplete,Same Tree,Easy,🎥 Video,PythonJava,,,
Incomplete,Subtree of Another Tree,Easy,🎥 Video,PythonJava,,,
Incomplete,Lowest Common Ancestor of a BST,Easy,🎥 Video,Python,,,
Incomplete,Binary Tree Level Order Traversal,Medium,🎥 Video,Python,,,
Incomplete,Binary Tree Right Side View,Medium,🎥 Video,Python,,,
Incomplete,Count Good Nodes in a Binary Tree,Medium,🎥 Video,PythonJava,,,
Incomplete,Validate Binary Search Tree,Medium,🎥 Video,PythonJava,,,
Incomplete,Kth Smallest Element in a BST,Medium,🎥 Video,Python,,,
Incomplete,Construct Tree from Preorder and Inorder Traversal,Medium,🎥 Video,Python,,,
Incomplete,Binary Tree Max Path Sum,Hard,🎥 Video,Python,,,
Incomplete,Serialize and Deserialize Binary Tree,Hard,🎥 Video,PythonJava,,,

Tries,,,,,,,
3,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Implement Trie,Medium,🎥 Video,PythonJava,,,
Incomplete,Design Add and Search Word Data Structure,Medium,🎥 Video,PythonJava,,,
Incomplete,Word Search II,Hard,🎥 Video,PythonJava,,,

Heap / Priority Queue,,,,,,,
7,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Kth Largest Element in a Stream,Easy,🎥 Video,PythonJava,,,
Incomplete,Last Stone Weight,Easy,🎥 Video,PythonJava,,,
Incomplete,K Closest Points to Origin,Medium,🎥 Video,PythonJava,,,
Incomplete,Kth Largest Element in an Array,Medium,🎥 Video,Python,,,
Incomplete,Task Scheduler,Medium,🎥 Video,PythonJava,,,
Incomplete,Design Twitter,Medium,🎥 Video,PythonJava,,,
Incomplete,Find Median from Data Stream,Hard,🎥 Video,Python,,,

Backtracking,,,,,,,
9,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Subsets,Medium,🎥 Video,PythonJava,,,
Incomplete,Combination Sum,Medium,🎥 Video,PythonJava,,,
Incomplete,Permutations,Medium,🎥 Video,PythonJava,,,
Incomplete,Subsets II,Medium,🎥 Video,Python,,,
Incomplete,Combination Sum II,Medium,🎥 Video,Python,,,
Incomplete,Word Search,Medium,🎥 Video,PythonJava,,,
Incomplete,Palindrome Partitioning,Medium,🎥 Video,PythonJava,,,
Incomplete,Letter Combinations of a Phone Number,Medium,🎥 Video,PythonJava,,,
Incomplete,N-Queens,Hard,🎥 Video,PythonJava,,,

Graphs,,,,,,,
13,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Number of Islands,Medium,🎥 Video,PythonJava,,,
Incomplete,Clone Graph,Medium,🎥 Video,PythonJava,,,
Incomplete,Max Area of Island,Medium,🎥 Video,Python,,,
Incomplete,Pacific Atlantic Waterflow,Medium,🎥 Video,Python,,,
Incomplete,Surrounded Regions,Medium,🎥 Video,Python,,,
Incomplete,Rotting Oranges,Medium,🎥 Video,PythonJava,,,
Incomplete,Walls and Gates,Medium,🎥 Video,Python,,,
Incomplete,Course Schedule,Medium,🎥 Video,Python,,,
Incomplete,Course Schedule II,Medium,🎥 Video,Python,,,
Incomplete,Redundant Connection,Medium,🎥 Video,Python,,,
Incomplete,Number of Connected Components in Graph,Medium,🎥 Video,Java,,,
Incomplete,Graph Valid Tree,Medium,🎥 Video,Python,,,
Incomplete,Word Ladder,Hard,🎥 Video,PythonJava,,,

Advanced Graphs,,,,,,,
6,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Reconstruct Itinerary,Hard,🎥 Video,PythonJava,,,
Incomplete,Min Cost to Connect all Points,Medium,🎥 Video,Python,,,
Incomplete,Network Delay Time,Medium,🎥 Video,Python,,,
Incomplete,Swim in Rising Water,Hard,🎥 Video,Python,,,
Incomplete,Alien Dictionary,Hard,🎥 Video,Java,,,
Incomplete,Cheapest Flights Within K Stops,Medium,🎥 Video,Python,,,

1-D Dynamic Programming,,,,,,,
12,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Climbing Stairs,Easy,🎥 Video,Python,,,
Incomplete,Min Cost Climbing Stairs,Easy,🎥 Video,Python,,,
Incomplete,House Robber,Medium,🎥 Video,PythonJava,,,
Incomplete,House Robber II,Medium,🎥 Video,PythonJava,,,
Incomplete,Longest Palindromic Substring,Medium,🎥 Video,PythonJava,,,
Incomplete,Palindromic Substrings,Medium,🎥 Video,PythonJava,,,
Incomplete,Decode Ways,Medium,🎥 Video,PythonJava,,,
Incomplete,Coin Change,Medium,🎥 Video,PythonJava,,,
Incomplete,Maximum Product Subarray,Medium,🎥 Video,Python,,,
Incomplete,Word Break,Medium,🎥 Video,PythonJava,,,
Incomplete,Longest Increasing Subsequence,Medium,🎥 Video,PythonJava,,,
Incomplete,Partition Equal Subset Sum,Medium,🎥 Video,Python,,,

2-D Dynamic Programming,,,,,,,
11,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Unique Paths,Medium,🎥 Video,PythonJava,,,
Incomplete,Longest Common Subsequence,Medium,🎥 Video,PythonJava,,,
Incomplete,Best Time to Buy/Sell Stock With Cooldown,Medium,🎥 Video,Python,,,
Incomplete,Coin Change II,Medium,🎥 Video,PythonJava,,,
Incomplete,Target Sum,Medium,🎥 Video,PythonJava,,,
Incomplete,Interleaving String,Medium,🎥 Video,PythonJava,,,
Incomplete,Longest Increasing Path in a Matrix,Hard,🎥 Video,PythonJava,,,
Incomplete,Distinct Subsequences,Hard,🎥 Video,PythonJava,,,
Incomplete,Edit Distance,Hard,🎥 Video,Python,,,
Incomplete,Burst Balloons,Hard,🎥 Video,PythonJava,,,
Incomplete,Regular Expression Matching,Hard,🎥 Video,Python,,,

Greedy,,,,,,,
8,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Maximum Subarray,Easy,🎥 Video,PythonJava,,,
Incomplete,Jump Game,Medium,🎥 Video,PythonJava,,,
Incomplete,Jump Game II,Medium,🎥 Video,Python,,,
Incomplete,Gas Station,Medium,🎥 Video,Python,,,
Incomplete,Hand of Straights,Medium,🎥 Video,Python,,,
Incomplete,Merge Triplets to Form Target Triplet,Medium,🎥 Video,Python,,,
Incomplete,Partition Labels,Medium,🎥 Video,Python,,,
Incomplete,Valid Parenthesis String,Medium,🎥 Video,PythonJava,,,

Intervals,,,,,,,
6,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Insert Interval,Medium,🎥 Video,PythonJava,,,
Incomplete,Merge Intervals,Medium,🎥 Video,PythonJava,,,
Incomplete,Non-Overlapping Intervals,Medium,🎥 Video,PythonJava,,,
Incomplete,Meeting Rooms,Easy,🎥 Video,PythonJava,,,
Incomplete,Meeting Rooms II,Medium,🎥 Video,Python,,,
Incomplete,Minimum Interval to Include Each Query,Hard,🎥 Video,Python,,,

Math & Geometry,,,,,,,
8,,,,,,,
Status,Problem,Difficulty,Video Solution,Code,,,
Incomplete,Rotate Image,Medium,🎥 Video,PythonJava,,,
Incomplete,Spiral Matrix,Medium,🎥 Video,Python,,,
Incomplete,Set Matrix Zeroes,Medium,🎥 Video,Python,,,
Incomplete,Happy Number,Easy,🎥 Video,PythonJava,,,
Incomplete,Plus One,Easy,🎥 Video,Python,,,
Incomplete,"Pow(x, n)",Medium,🎥 Video,Python,,,
Incomplete,Multiply Strings,Medium,🎥 Video,Python,,,
